 #--t=1e4------t=2e4--------t=4e4-------t=6e4------t=8e4-------t=1e5
  5.3027E+00  2.0648E-03  8.3049E-04  4.9339E-04  3.3957E-04  2.4989E-04
  5.4027E+00  2.1692E-03  8.6807E-04  5.1429E-04  3.5328E-04  2.5958E-04
  5.5028E+00  2.2783E-03  9.0708E-04  5.3593E-04  3.6744E-04  2.6958E-04
  5.6028E+00  2.3920E-03  9.4758E-04  5.5833E-04  3.8207E-04  2.7989E-04
  5.7029E+00  2.5106E-03  9.8962E-04  5.8152E-04  3.9719E-04  2.9053E-04
  5.8029E+00  2.6343E-03  1.0332E-03  6.0552E-04  4.1281E-04  3.0151E-04
  5.9030E+00  2.7634E-03  1.0785E-03  6.3035E-04  4.2894E-04  3.1282E-04
  6.0030E+00  2.8978E-03  1.1255E-03  6.5604E-04  4.4560E-04  3.2449E-04
  6.1031E+00  3.0380E-03  1.1742E-03  6.8262E-04  4.6280E-04  3.3652E-04
  6.2031E+00  3.1841E-03  1.2247E-03  7.1011E-04  4.8056E-04  3.4893E-04
  6.3032E+00  3.3363E-03  1.2771E-03  7.3855E-04  4.9890E-04  3.6171E-04
  6.4032E+00  3.4948E-03  1.3314E-03  7.6796E-04  5.1782E-04  3.7489E-04
  6.5033E+00  3.6599E-03  1.3877E-03  7.9836E-04  5.3735E-04  3.8848E-04
  6.6033E+00  3.8318E-03  1.4461E-03  8.2980E-04  5.5751E-04  4.0247E-04
  6.7034E+00  4.0108E-03  1.5066E-03  8.6229E-04  5.7831E-04  4.1689E-04
  6.8034E+00  4.1970E-03  1.5692E-03  8.9588E-04  5.9977E-04  4.3175E-04
  6.9035E+00  4.3909E-03  1.6342E-03  9.3059E-04  6.2191E-04  4.4706E-04
  7.0035E+00  4.5925E-03  1.7014E-03  9.6645E-04  6.4475E-04  4.6283E-04
  7.1036E+00  4.8023E-03  1.7711E-03  1.0035E-03  6.6831E-04  4.7907E-04
  7.2036E+00  5.0204E-03  1.8432E-03  1.0418E-03  6.9260E-04  4.9579E-04
  7.3037E+00  5.2473E-03  1.9179E-03  1.0813E-03  7.1765E-04  5.1302E-04
  7.4037E+00  5.4831E-03  1.9953E-03  1.1222E-03  7.4348E-04  5.3075E-04
  7.5038E+00  5.7282E-03  2.0753E-03  1.1644E-03  7.7011E-04  5.4901E-04
  7.6038E+00  5.9829E-03  2.1582E-03  1.2079E-03  7.9756E-04  5.6780E-04
  7.7039E+00  6.2476E-03  2.2439E-03  1.2529E-03  8.2585E-04  5.8715E-04
  7.8039E+00  6.5225E-03  2.3326E-03  1.2993E-03  8.5501E-04  6.0706E-04
